"","Region","Treatment","Years_Since_Exclosure","Group","Month","Mean_Subplot_Albedo","SE","Season"
"1","Telemark","B",1,"Composite",1,0.441723629495239,0.00259582836525585,"Winter"
"2","Trøndelag","B",1,"Composite",1,0.430396246812994,0.00238456725930301,"Winter"
"3","Telemark","UB",1,"Composite",1,0.444168435301562,0.00302772400555034,"Winter"
"4","Trøndelag","UB",1,"Composite",1,0.428185351875085,0.00306282560120539,"Winter"
"5","Hedmark","B",2,"Composite",1,0.322550484208089,0.00150264059109295,"Winter"
"6","Telemark","B",2,"Composite",1,0.445898975207877,0.00244757677246047,"Winter"
"7","Trøndelag","B",2,"Composite",1,0.43056826249366,0.00244069815030395,"Winter"
"8","Hedmark","UB",2,"Composite",1,0.328817115268501,0.000992092009340965,"Winter"
"9","Telemark","UB",2,"Composite",1,0.449670847658843,0.00233518319747624,"Winter"
"10","Trøndelag","UB",2,"Composite",1,0.42880230158536,0.00297803406857861,"Winter"
"11","Hedmark","B",3,"Composite",1,0.326323049039654,0.00137444634538233,"Winter"
"12","Telemark","B",3,"Composite",1,0.44433130307955,0.00243607268682447,"Winter"
"13","Trøndelag","B",3,"Composite",1,0.428382447443932,0.00254609876216333,"Winter"
"14","Hedmark","UB",3,"Composite",1,0.328945478277295,0.00082899090111615,"Winter"
"15","Telemark","UB",3,"Composite",1,0.444015724332015,0.00272914232607084,"Winter"
"16","Trøndelag","UB",3,"Composite",1,0.42809994824279,0.00262397303362992,"Winter"
"17","Hedmark","B",4,"Composite",1,0.325316659904342,0.00146415432424609,"Winter"
"18","Telemark","B",4,"Composite",1,0.442646976488901,0.00244487033351318,"Winter"
"19","Trøndelag","B",4,"Composite",1,0.429494463971581,0.00217426530375586,"Winter"
"20","Hedmark","UB",4,"Composite",1,0.327673129037595,0.00112396058700225,"Winter"
"21","Telemark","UB",4,"Composite",1,0.442910215263064,0.00238452375092945,"Winter"
"22","Trøndelag","UB",4,"Composite",1,0.428154814391677,0.00243952347598058,"Winter"
"23","Hedmark","B",5,"Composite",1,0.324743632031293,0.00148044172347971,"Winter"
"24","Telemark","B",5,"Composite",1,0.441716260224631,0.0024839839982307,"Winter"
"25","Trøndelag","B",5,"Composite",1,0.426625293799038,0.00229914038501521,"Winter"
"26","Hedmark","UB",5,"Composite",1,0.325043884267643,0.0013695314718672,"Winter"
"27","Telemark","UB",5,"Composite",1,0.442010994327927,0.00235670950747509,"Winter"
"28","Trøndelag","UB",5,"Composite",1,0.424426862092446,0.00231645159805794,"Winter"
"29","Hedmark","B",6,"Composite",1,0.323751182517159,0.00154456165551617,"Winter"
"30","Telemark","B",6,"Composite",1,0.438968946373183,0.00247635025767014,"Winter"
"31","Trøndelag","B",6,"Composite",1,0.426329164520528,0.00233425509202273,"Winter"
"32","Hedmark","UB",6,"Composite",1,0.321862769004992,0.00190227276647609,"Winter"
"33","Telemark","UB",6,"Composite",1,0.439346932112355,0.00228846773095201,"Winter"
"34","Trøndelag","UB",6,"Composite",1,0.42392816979754,0.00223531810380002,"Winter"
"35","Hedmark","B",7,"Composite",1,0.321720098625367,0.00206582988223137,"Winter"
"36","Telemark","B",7,"Composite",1,0.437807885616675,0.00263451373724209,"Winter"
"37","Trøndelag","B",7,"Composite",1,0.427536740244867,0.00223923267592029,"Winter"
"38","Hedmark","UB",7,"Composite",1,0.320069936396454,0.00204862650467298,"Winter"
"39","Telemark","UB",7,"Composite",1,0.438465981192412,0.00234686198874272,"Winter"
"40","Trøndelag","UB",7,"Composite",1,0.422301312319997,0.00244808951516751,"Winter"
"41","Hedmark","B",8,"Composite",1,0.323288565903796,0.00190913506067602,"Winter"
"42","Telemark","B",8,"Composite",1,0.436423139030986,0.0028400195122674,"Winter"
"43","Trøndelag","B",8,"Composite",1,0.422933974209899,0.00239303548643781,"Winter"
"44","Hedmark","UB",8,"Composite",1,0.319080813713302,0.00302734631803433,"Winter"
"45","Telemark","UB",8,"Composite",1,0.436260671830264,0.00236587436800002,"Winter"
"46","Trøndelag","UB",8,"Composite",1,0.411876710903714,0.0025639759271912,"Winter"
"47","Telemark","B",9,"Composite",1,0.434366091530551,0.00280445137645498,"Winter"
"48","Trøndelag","B",9,"Composite",1,0.423148940169888,0.00217173512105463,"Winter"
"49","Telemark","UB",9,"Composite",1,0.435906097810056,0.00239647709048234,"Winter"
"50","Trøndelag","UB",9,"Composite",1,0.412559582043285,0.00217534040211867,"Winter"
"51","Trøndelag","B",10,"Composite",1,0.420046715274965,0.00384748606258998,"Winter"
"52","Trøndelag","UB",10,"Composite",1,0.411575775952044,0.00207454648461765,"Winter"
"53","Trøndelag","B",11,"Composite",1,0.420251165578368,0.00209386462428136,"Winter"
"54","Trøndelag","UB",11,"Composite",1,0.411880267130216,0.0021892114728699,"Winter"
"55","Telemark","B",1,"Deciduous",1,0.470743203867382,0.000336063504072398,"Winter"
"56","Trøndelag","B",1,"Deciduous",1,0.44790718660698,0.000128711608196534,"Winter"
"57","Telemark","UB",1,"Deciduous",1,0.471154994603852,7.95341779601868e-05,"Winter"
"58","Trøndelag","UB",1,"Deciduous",1,0.447975020416462,0.000107888642942376,"Winter"
"59","Hedmark","B",2,"Deciduous",1,0.335561312577821,0.000204688485991721,"Winter"
"60","Telemark","B",2,"Deciduous",1,0.470657782668001,0.000277960569832674,"Winter"
"61","Trøndelag","B",2,"Deciduous",1,0.447610098018333,0.000160251841973519,"Winter"
"62","Hedmark","UB",2,"Deciduous",1,0.335270327381924,0.000322635375522489,"Winter"
"63","Telemark","UB",2,"Deciduous",1,0.47077411243685,0.000134044536193103,"Winter"
"64","Trøndelag","UB",2,"Deciduous",1,0.447484368329576,0.000149301488917106,"Winter"
"65","Hedmark","B",3,"Deciduous",1,0.33538299430094,7.57329071511338e-05,"Winter"
"66","Telemark","B",3,"Deciduous",1,0.470492078119738,0.000259528508452397,"Winter"
"67","Trøndelag","B",3,"Deciduous",1,0.447507648188243,0.000149480701617507,"Winter"
"68","Hedmark","UB",3,"Deciduous",1,0.33404158231712,0.000381279803331863,"Winter"
"69","Telemark","UB",3,"Deciduous",1,0.469868247740303,0.000302405339094441,"Winter"
"70","Trøndelag","UB",3,"Deciduous",1,0.446776625853736,0.000227942716271959,"Winter"
"71","Hedmark","B",4,"Deciduous",1,0.335340947752291,8.24956685722725e-05,"Winter"
"72","Telemark","B",4,"Deciduous",1,0.470133222205236,0.000307961884688244,"Winter"
"73","Trøndelag","B",4,"Deciduous",1,0.44709509190128,0.000241465469445368,"Winter"
"74","Hedmark","UB",4,"Deciduous",1,0.332889122361339,0.000598708315651777,"Winter"
"75","Telemark","UB",4,"Deciduous",1,0.468938346995519,0.000411309826086565,"Winter"
"76","Trøndelag","UB",4,"Deciduous",1,0.445578736958381,0.000420910389469186,"Winter"
"77","Hedmark","B",5,"Deciduous",1,0.335037771898614,0.000149691723177287,"Winter"
"78","Telemark","B",5,"Deciduous",1,0.469893558732382,0.000304783372672945,"Winter"
"79","Trøndelag","B",5,"Deciduous",1,0.446701475324326,0.000276174149390729,"Winter"
"80","Hedmark","UB",5,"Deciduous",1,0.330317075223088,0.00112317460762702,"Winter"
"81","Telemark","UB",5,"Deciduous",1,0.467705992666114,0.000621476537994587,"Winter"
"82","Trøndelag","UB",5,"Deciduous",1,0.44443127468266,0.000515487823655188,"Winter"
"83","Hedmark","B",6,"Deciduous",1,0.334765950568229,0.000156230287242883,"Winter"
"84","Telemark","B",6,"Deciduous",1,0.469532450117351,0.000318516889106901,"Winter"
"85","Trøndelag","B",6,"Deciduous",1,0.446520462542088,0.000340243920211211,"Winter"
"86","Hedmark","UB",6,"Deciduous",1,0.328686086571101,0.0013662299084336,"Winter"
"87","Telemark","UB",6,"Deciduous",1,0.466358471978718,0.000723690983308349,"Winter"
"88","Trøndelag","UB",6,"Deciduous",1,0.442506451831168,0.000813252595897139,"Winter"
"89","Hedmark","B",7,"Deciduous",1,0.334525039624619,0.000217553877037357,"Winter"
"90","Telemark","B",7,"Deciduous",1,0.469205702933764,0.000373704635966633,"Winter"
"91","Trøndelag","B",7,"Deciduous",1,0.446381960721397,0.000285039833660979,"Winter"
"92","Hedmark","UB",7,"Deciduous",1,0.327395949329671,0.00138173163206836,"Winter"
"93","Telemark","UB",7,"Deciduous",1,0.465942600669174,0.00071973432051208,"Winter"
"94","Trøndelag","UB",7,"Deciduous",1,0.44160267727749,0.000794900260157068,"Winter"
"95","Hedmark","B",8,"Deciduous",1,0.33400996570649,0.000295058746490821,"Winter"
"96","Telemark","B",8,"Deciduous",1,0.468517685759366,0.000507669721416787,"Winter"
"97","Trøndelag","B",8,"Deciduous",1,0.439954401133684,0.00126976783433615,"Winter"
"98","Hedmark","UB",8,"Deciduous",1,0.326293735097391,0.0016393372283644,"Winter"
"99","Telemark","UB",8,"Deciduous",1,0.46458134163832,0.00085494608986588,"Winter"
"100","Trøndelag","UB",8,"Deciduous",1,0.429345608954757,0.00229028142655834,"Winter"
"101","Telemark","B",9,"Deciduous",1,0.46837610570007,0.000571149022710946,"Winter"
"102","Trøndelag","B",9,"Deciduous",1,0.438923843198279,0.00138486979629837,"Winter"
