"","Region","LocalityName","LocalityCode","Treatment","Group","Month","Years_Since_Exclosure","Plot_Albedo","Productivity_Index","DistrictID","Moose_Density","Red_Deer_Density","Roe_Deer_Density","Mean_Canopy_Height","Snow_Prop","Avg_Decid_Prop","SWE_mm","Temp_K","Season"
"1","Trøndelag","steinkjer_1bbb","1BBB","B","Composite","1",1,0.453410329280317,0.115979123,"1702",107.5650526,2.431337072,17.86445891,0.105052757969716,0.962365591397849,0.944047619047619,79.2239247311828,269.076075268817,"Season_1"
"2","Telemark","nome_cappelen1","1CAB","B","Composite","1",1,0.404959540312973,0.080441283,"0806",36.73246483,7.237559382,26.88021893,0.212220429511045,0.868279569892473,0.217401960784314,62.7064516129032,270.279301075269,"Season_1"
"3","Telemark","drangedal1","1DRB","B","Composite","1",1,0.419226980108153,0.21131677,"0817",27.00672829,9.836987784,5.031787593,0.724767388548418,0.911290322580645,0.193560606060606,85.2059139784946,269.732258064516,"Season_1"
"4","Telemark","fritsoe1","1FRB","B","Composite","1",1,0.441545003038776,0.245537883,"0604",45.5486725,2.225169257,8.847710058,0.86256351190303,0.973118279569892,0.270833333333333,122.365322580645,268.255913978495,"Season_1"
"5","Telemark","furesdal","1FYB","B","Composite","1",1,0.407833512769639,0.058035047,"0831",23.22393919,2.078638027,1.526065809,0.256416666238159,0.973118279569892,0.0357142857142857,87.0193548387097,268.243279569892,"Season_1"
"6","Trøndelag","namdalseid_1kub","1KB","B","Composite","1",1,0.410098956299005,0.222676728,"1725",75.88802955,8.758466457,7.375877596,0.129218140280598,0.913978494623656,0.912152777777778,51.9384408602151,270.601075268817,"Season_1"
"7","Telemark","kviteseid1","1KVB","B","Composite","1",1,0.461878509322359,0.105926078,"0829",34.25057033,13.40190923,2.936689407,1.1901827429254,1,0.737760416666667,112.222580645161,267.740053763441,"Season_1"
"8","Trøndelag","nsb_verdal","1NSB","B","Composite","1",1,0.27901371187651,0.110463648,"1721",28.2697902,2.827400105,6.979690234,0.0569086417820259,0.846774193548387,0.647222222222222,21.2467741935484,270.162096774194,"Season_1"
"9","Trøndelag","sub_namdalseid","1SB","B","Composite","1",1,0.453229004454057,0.077437345,"1725",75.88802955,8.758466457,7.375877596,0.186951220505757,0.951612903225806,0.830357142857143,84.7454301075269,269.805107526882,"Season_1"
"10","Trøndelag","verdal_1vb","1VBB","B","Composite","1",1,0.334948008320214,0.011938921,"1721",28.2697902,2.827400105,6.979690234,0.216583332660819,0.900537634408602,0.55,34.3368279569892,269.202150537634,"Season_1"
"11","Trøndelag","steinkjer_2bbb","2BBB","B","Composite","1",1,0.450457856772071,0.087040751,"1702",107.5650526,2.431337072,17.86445891,0.291672679005472,0.962365591397849,0.926637086903305,79.1282258064516,269.102419354839,"Season_1"
"12","Telemark","nome_cappelen2","2CAB","B","Composite","1",1,0.401100702882527,0.166542737,"0819",30.18818188,28.25801849,15.04767058,0.380803571209461,0.908602150537634,0.446148648648649,53.5731182795699,269.777419354839,"Season_1"
"13","Telemark","fritsoe2","2FRB","B","Composite","1",1,0.421884683905589,0.148195816,"0728",45.48785783,33.89613967,19.91579349,0.854038740012436,0.903225806451613,0.43288961038961,77.7435483870968,269.055107526882,"Season_1"
"14","Telemark","kviteseid2","2KVB","B","Composite","1",1,0.477138168061482,0.106407376,"0829",34.25057033,13.40190923,2.936689407,0.956211164489714,1,0.683333333333333,160.407795698925,267.278225806452,"Season_1"
"15","Trøndelag","verdal_2vb","2VBB","B","Composite","1",1,0.289495521093377,0.241115185,"1721",28.2697902,2.827400105,6.979690234,0.567233490816676,0.89247311827957,0.688200203695621,26.9379032258065,269.438709677419,"Season_1"
"16","Telemark","kviteseid3","3KVB","B","Composite","1",1,0.480741522104042,0.091250578,"0829",34.25057033,13.40190923,2.936689407,0.802549872254414,1,0.941272418058132,139.604032258065,266.983333333333,"Season_1"
"17","Telemark","notodden3","3NOB","B","Composite","1",1,0.436140987023546,0.142430355,"0807",45.75073179,7.549714848,3.55799475,0.888706699265361,1,0.293373745819398,96.819623655914,267.493279569892,"Season_1"
"18","Telemark","drangedal4","4DRB","B","Composite","1",1,0.454078703019701,0.205027981,"0817",27.00672829,9.836987784,5.031787593,0.949242132564795,0.911290322580645,0.972824302134647,89.9268817204301,269.318817204301,"Season_1"
"19","Telemark","notodden5","5NOB","B","Composite","1",1,0.407496823478301,0.119776917,"0807",45.75073179,7.549714848,3.55799475,0.406247421944893,1,0.235897895743663,108.603494623656,267.268548387097,"Season_1"
"20","Telemark","notodden6","6NOB","B","Composite","1",1,0.425559637105394,0.106105683,"0807",45.75073179,7.549714848,3.55799475,0.664381176672657,0.986559139784946,0.287179487179487,80.1413978494624,268.065591397849,"Season_1"
"21","Trøndelag","bratsberg","BRB","B","Composite","1",1,0.413367881709757,0.19644858,"1601",79.89208961,1.335197374,31.0221955,0.427393586708792,0.908602150537634,0.979902858579329,52.4263440860215,270.042741935484,"Season_1"
"22","Trøndelag","selbu_flub","FLB","B","Composite","1",1,0.373212168738752,0.271341572,"1664",56.44604547,5.437898015,4.380325628,1.66651620670287,0.932795698924731,0.497023809523809,44.7032258064516,269.102688172043,"Season_1"
"23","Trøndelag","hi_tydal","HIB","B","Composite","1",1,0.462191101940679,0.214070788,"1665",16.47588281,0.419443553,0,0.558368909693206,1,0.901514355742297,109.716397849462,267.458602150538,"Season_1"
"24","Trøndelag","selbu_kl","KLB","B","Composite","1",1,0.41496752691828,0.116040591,"1664",56.44604547,5.437898015,4.380325628,0.113526502119002,0.978494623655914,0.529117009750813,61.7935483870968,268.54435483871,"Season_1"
"25","Trøndelag","singsaas","LAB","B","Composite","1",1,0.425065738880541,0.042265252,"1648",36.25939668,6.648445301,2.712137721,0.195805897931934,0.978494623655914,0.247619047619048,96.1295698924731,267.51747311828,"Season_1"
"26","Trøndelag","malvik","MAB","B","Composite","1",1,0.369063365752017,0.160287892,"1663",91.59537109,0.841762109,20.5676583,0.413341902637828,0.89247311827957,0.694597630718954,42.7846774193548,269.64247311828,"Season_1"
"27","Trøndelag","sl_tydal","SEB","B","Composite","1",1,0.465246701229154,0.132712131,"1665",16.47588281,0.419443553,0,0.286093677692901,1,0.692460317460317,121.981451612903,266.894623655914,"Season_1"
"28","Trøndelag","selbu_sl","SLB","B","Composite","1",1,0.418456366456452,0.124288986,"1664",56.44604547,5.437898015,4.380325628,0.621776349386763,0.986559139784946,0.2875,83.9094086021505,268.081720430108,"Season_1"
"29","Trøndelag","steinkjer_1bbb","1BBUB","UB","Composite","1",1,0.454670937204816,0.115979123,"1702",107.5650526,2.431337072,17.86445891,0.15554822394258,0.962365591397849,0.93234649122807,79.2239247311828,269.076075268817,"Season_1"
"30","Telemark","nome_cappelen1","1CAUB","UB","Composite","1",1,0.396610460462733,0.080441283,"0806",36.73246483,7.237559382,26.88021893,0.299851009619276,0.868279569892473,0.133333333333333,62.7064516129032,270.279301075269,"Season_1"
"31","Telemark","drangedal1","1DRUB","UB","Composite","1",1,0.442900669483298,0.21131677,"0817",27.00672829,9.836987784,5.031787593,0.89349748748536,0.911290322580645,0.653645833333333,85.2059139784946,269.732258064516,"Season_1"
"32","Telemark","fritsoe1","1FRUB","UB","Composite","1",1,0.463147385630021,0.245537883,"0604",45.5486725,2.225169257,8.847710058,1.4471953509213,0.973118279569892,0.728227699530516,122.365322580645,268.255913978495,"Season_1"
"33","Telemark","furesdal","1FYUB","UB","Composite","1",1,0.408555338356981,0.058035047,"0831",23.22393919,2.078638027,1.526065809,0.765572700937602,0.973118279569892,0.25,87.0193548387097,268.243279569892,"Season_1"
"34","Trøndelag","namdalseid_1kub","1KUB","UB","Composite","1",1,0.388697991998321,0.222676728,"1725",75.88802955,8.758466457,7.375877596,0.244896724315768,0.913978494623656,0.354166666666667,51.9384408602151,270.601075268817,"Season_1"
"35","Telemark","kviteseid1","1KVUB","UB","Composite","1",1,0.462504963905433,0.105926078,"0829",34.25057033,13.40190923,2.936689407,1.69761136832054,1,0.678571428571428,112.222580645161,267.740053763441,"Season_1"
"36","Trøndelag","nsb_verdal","1NSUB","UB","Composite","1",1,0.279980885040901,0.110463648,"1721",28.2697902,2.827400105,6.979690234,0.13729629590475,0.846774193548387,0.666666666666667,21.2467741935484,270.162096774194,"Season_1"
"37","Trøndelag","sub_namdalseid","1SUB","UB","Composite","1",1,0.44593864875116,0.077437345,"1725",75.88802955,8.758466457,7.375877596,0.152450494683465,0.951612903225806,0.719100851722803,84.7454301075269,269.805107526882,"Season_1"
"38","Trøndelag","verdal_1vb","1VBUB","UB","Composite","1",1,0.332282239220791,0.011938921,"1721",28.2697902,2.827400105,6.979690234,0.266489106051446,0.900537634408602,0.564102564102564,34.3368279569892,269.202150537634,"Season_1"
"39","Trøndelag","steinkjer_2bbb","2BBUB","UB","Composite","1",1,0.456378165950676,0.087040751,"1702",107.5650526,2.431337072,17.86445891,0.540061009660257,0.962365591397849,0.982397959183673,79.1282258064516,269.102419354839,"Season_1"
"40","Telemark","nome_cappelen2","2CAUB","UB","Composite","1",1,0.400718071351749,0.166542737,"0819",30.18818188,28.25801849,15.04767058,0.765922461321981,0.908602150537634,0.438651218062983,53.5731182795699,269.777419354839,"Season_1"
"41","Telemark","fritsoe2","2FRUB","UB","Composite","1",1,0.446008527165402,0.148195816,"0728",45.48785783,33.89613967,19.91579349,1.47146511385675,0.903225806451613,0.788957688338493,77.7435483870968,269.055107526882,"Season_1"
"42","Telemark","kviteseid2","2KVUB","UB","Composite","1",1,0.45989593951448,0.106407376,"0829",34.25057033,13.40190923,2.936689407,1.50583744001359,1,0.322916666666667,160.407795698925,267.278225806452,"Season_1"
"43","Trøndelag","verdal_2vb","2VBUB","UB","Composite","1",1,0.294909555287233,0.241115185,"1721",28.2697902,2.827400105,6.979690234,1.6071785787697,0.89247311827957,0.559722222222222,26.9379032258065,269.438709677419,"Season_1"
"44","Telemark","drangedal3","3DRUB","UB","Composite","1",1,0.436823445550745,0.019353239,"0817",27.00672829,9.836987784,5.031787593,0.0915438149867882,0.919354838709677,0.333333333333333,91.3083333333333,269.250268817204,"Season_1"
"45","Telemark","kviteseid3","3KVUB","UB","Composite","1",1,0.472559288132763,0.091250578,"0829",34.25057033,13.40190923,2.936689407,0.989695650640541,1,0.842637304468067,139.604032258065,266.983333333333,"Season_1"
"46","Telemark","notodden3","3NOUB","UB","Composite","1",1,0.43437108313709,0.142430355,"0807",45.75073179,7.549714848,3.55799475,1.12241627908268,1,0.280769230769231,96.819623655914,267.493279569892,"Season_1"
"47","Telemark","drangedal4","4DRUB","UB","Composite","1",1,0.46415764920009,0.205027981,"0817",27.00672829,9.836987784,5.031787593,2.34772389858373,0.911290322580645,0.980762147962365,89.9268817204301,269.318817204301,"Season_1"
"48","Telemark","notodden5","5NOUB","UB","Composite","1",1,0.345958479819041,0.119776917,"0807",45.75073179,7.549714848,3.55799475,0.643162291463096,1,0.139193631398058,108.603494623656,267.268548387097,"Season_1"
"49","Telemark","notodden6","6NOUB","UB","Composite","1",1,0.439813191440705,0.106105683,"0807",45.75073179,7.549714848,3.55799475,1.03620902460949,0.986559139784946,0.54978354978355,80.1413978494624,268.065591397849,"Season_1"
"50","Trøndelag","bratsberg","BRUB","UB","Composite","1",1,0.41392576693805,0.19644858,"1601",79.89208961,1.335197374,31.0221955,2.13904225370522,0.908602150537634,0.962045306175741,52.4263440860215,270.042741935484,"Season_1"
"51","Trøndelag","selbu_flub","FLUB","UB","Composite","1",1,0.38320198245992,0.271341572,"1664",56.44604547,5.437898015,4.380325628,1.40290329890915,0.932795698924731,0.833333333333333,44.7032258064516,269.102688172043,"Season_1"
"52","Trøndelag","hi_tydal","HIUB","UB","Composite","1",1,0.463747309108492,0.214070788,"1665",16.47588281,0.419443553,0,1.88257870700262,1,0.812845049687155,109.716397849462,267.458602150538,"Season_1"
"53","Trøndelag","selbu_kl","KLUB","UB","Composite","1",1,0.406050174465653,0.116040591,"1664",56.44604547,5.437898015,4.380325628,0.196003195316235,0.978494623655914,0.302083333333333,61.7935483870968,268.54435483871,"Season_1"
"54","Trøndelag","singsaas","LAUB","UB","Composite","1",1,0.401813450556174,0.042265252,"1648",36.25939668,6.648445301,2.712137721,0.215802325885256,0.978494623655914,0,96.1295698924731,267.51747311828,"Season_1"
"55","Trøndelag","malvik","MAUB","UB","Composite","1",1,0.374761116538079,0.160287892,"1663",91.59537109,0.841762109,20.5676583,1.40626146546202,0.89247311827957,0.707738095238095,42.7846774193548,269.64247311828,"Season_1"
"56","Trøndelag","sl_tydal","SEUB","UB","Composite","1",1,0.462405924550817,0.132712131,"1665",16.47588281,0.419443553,0,0.828131509418472,1,0.668784114436288,121.981451612903,266.894623655914,"Season_1"
"57","Trøndelag","selbu_sl","SLUB","UB","Composite","1",1,0.442842938311473,0.124288986,"1664",56.44604547,5.437898015,4.380325628,1.04207021931917,0.986559139784946,0.669871794871795,83.9094086021505,268.081720430108,"Season_1"
"208","Trøndelag","steinkjer_1bbb","1BBB","B","Composite","2",1,0.471818523012687,0.115979123,"1702",107.5650526,2.431337072,17.86445891,0.15554822394258,0.973214285714286,0.944047619047619,115.41592920354,269.642625368732,"Season_1"
"209","Telemark","nome_cappelen1","1CAB","B","Composite","2",1,0.44274311865617,0.080441283,"0806",36.73246483,7.237559382,26.88021893,0.212220429511045,0.901169950738916,0.217401960784314,116.060471976401,270.875073746313,"Season_1"
"210","Telemark","drangedal1","1DRB","B","Composite","2",1,0.453123435560987,0.21131677,"0817",27.00672829,9.836987784,5.031787593,0.724767388548418,0.982348111658456,0.193560606060606,150.618879056047,270.375663716814,"Season_1"
"211","Telemark","fritsoe1","1FRB","B","Composite","2",1,0.469698625209595,0.245537883,"0604",45.5486725,2.225169257,8.847710058,1.4471953509213,1,0.270833333333333,206.915634218289,269.159439528024,"Season_1"
"212","Telemark","furesdal","1FYB","B","Composite","2",1,0.435807279827489,0.058035047,"0831",23.22393919,2.078638027,1.526065809,0.256416666238159,1,0.0357142857142857,137.520943952802,268.882448377581,"Season_1"
"213","Trøndelag","namdalseid_1kub","1KB","B","Composite","2",1,0.451176505246975,0.222676728,"1725",75.88802955,8.758466457,7.375877596,0.244896724315768,0.860632183908046,0.912152777777778,80.0076696165192,271.017256637168,"Season_1"
"214","Telemark","kviteseid1","1KVB","B","Composite","2",1,0.484745323089692,0.105926078,"0829",34.25057033,13.40190923,2.936689407,1.1901827429254,1,0.737760416666667,170.644542772861,268.384218289086,"Season_1"
"215","Trøndelag","nsb_verdal","1NSB","B","Composite","2",1,0.299020798392647,0.110463648,"1721",28.2697902,2.827400105,6.979690234,0.13729629590475,0.798440065681445,0.647222222222222,27.1333333333333,270.799557522124,"Season_1"
"216","Trøndelag","sub_namdalseid","1SB","B","Composite","2",1,0.474216698716191,0.077437345,"1725",75.88802955,8.758466457,7.375877596,0.152450494683465,0.952380952380952,0.830357142857143,127.524483775811,270.305162241888,"Season_1"
"217","Trøndelag","verdal_1vb","1VBB","B","Composite","2",1,0.388942454121932,0.011938921,"1721",28.2697902,2.827400105,6.979690234,0.216583332660819,0.898809523809524,0.55,47.6085545722714,269.949705014749,"Season_1"
"218","Trøndelag","steinkjer_2bbb","2BBB","B","Composite","2",1,0.468955483552581,0.087040751,"1702",107.5650526,2.431337072,17.86445891,0.291672679005472,0.961309523809524,0.926637086903305,115.761061946903,269.670353982301,"Season_1"
"219","Telemark","nome_cappelen2","2CAB","B","Composite","2",1,0.440891718194398,0.166542737,"0819",30.18818188,28.25801849,15.04767058,0.380803571209461,0.941605090311987,0.446148648648649,93.9044247787611,270.583628318584,"Season_1"
"220","Telemark","fritsoe2","2FRB","B","Composite","2",1,0.453885779853877,0.148195816,"0728",45.48785783,33.89613967,19.91579349,0.854038740012436,0.982142857142857,0.43288961038961,137.038643067847,269.913126843658,"Season_1"
"221","Telemark","kviteseid2","2KVB","B","Composite","2",1,0.50020441663615,0.106407376,"0829",34.25057033,13.40190923,2.936689407,0.956211164489714,1,0.683333333333333,242.883185840708,267.98982300885,"Season_1"
"222","Trøndelag","verdal_2vb","2VBB","B","Composite","2",1,0.338600760224653,0.241115185,"1721",28.2697902,2.827400105,6.979690234,0.567233490816676,0.866071428571429,0.688200203695621,37.6672566371681,270.17005899705,"Season_1"
"223","Telemark","kviteseid3","3KVB","B","Composite","2",1,0.504086174563038,0.091250578,"0829",34.25057033,13.40190923,2.936689407,0.802549872254414,1,0.941272418058132,211.555752212389,267.62197640118,"Season_1"
"224","Telemark","notodden3","3NOB","B","Composite","2",1,0.460960252847766,0.142430355,"0807",45.75073179,7.549714848,3.55799475,0.888706699265361,1,0.293373745819398,147.638348082596,268.659734513274,"Season_1"
"225","Telemark","drangedal4","4DRB","B","Composite","2",1,0.479960142940533,0.205027981,"0817",27.00672829,9.836987784,5.031787593,0.949242132564795,0.991071428571429,0.972824302134647,155.956932153392,269.87005899705,"Season_1"
"226","Telemark","notodden5","5NOB","B","Composite","2",1,0.428392407436146,0.119776917,"0807",45.75073179,7.549714848,3.55799475,0.406247421944893,1,0.235897895743663,165.439233038348,268.368289085546,"Season_1"
"227","Telemark","notodden6","6NOB","B","Composite","2",1,0.453377695935758,0.106105683,"0807",45.75073179,7.549714848,3.55799475,0.664381176672657,0.985119047619048,0.287179487179487,128.946902654867,269.21401179941,"Season_1"
"228","Trøndelag","bratsberg","BRB","B","Composite","2",1,0.443411479634481,0.19644858,"1601",79.89208961,1.335197374,31.0221955,0.427393586708792,0.892959770114943,0.979902858579329,68.0418879056047,270.955014749262,"Season_1"
"229","Trøndelag","selbu_flub","FLB","B","Composite","2",1,0.412537369191687,0.271341572,"1664",56.44604547,5.437898015,4.380325628,1.66651620670287,0.904761904761905,0.497023809523809,62.5952802359882,270.12197640118,"Season_1"
"230","Trøndelag","hi_tydal","HIB","B","Composite","2",1,0.478215495166472,0.214070788,"1665",16.47588281,0.419443553,0,1.88257870700262,0.973214285714286,0.901514355742297,151.276991150442,268.67005899705,"Season_1"
"231","Trøndelag","selbu_kl","KLB","B","Composite","2",1,0.435313668500926,0.116040591,"1664",56.44604547,5.437898015,4.380325628,0.113526502119002,0.93452380952381,0.529117009750813,84.9466076696165,269.629351032448,"Season_1"
"232","Trøndelag","singsaas","LAB","B","Composite","2",1,0.444026886489503,0.042265252,"1648",36.25939668,6.648445301,2.712137721,0.215802325885256,0.9375,0.247619047619048,133.641887905605,268.832005899705,"Season_1"
"233","Trøndelag","malvik","MAB","B","Composite","2",1,0.413803786610748,0.160287892,"1663",91.59537109,0.841762109,20.5676583,1.40626146546202,0.863505747126437,0.694597630718954,58.1265486725664,270.578613569322,"Season_1"
"234","Trøndelag","sl_tydal","SEB","B","Composite","2",1,0.482559187121886,0.132712131,"1665",16.47588281,0.419443553,0,0.828131509418472,0.994047619047619,0.692460317460317,166.508554572271,268.158259587021,"Season_1"
"235","Trøndelag","selbu_sl","SLB","B","Composite","2",1,0.43685853076039,0.124288986,"1664",56.44604547,5.437898015,4.380325628,0.621776349386763,0.9375,0.2875,114.761651917404,269.205162241888,"Season_1"
"236","Trøndelag","steinkjer_1bbb","1BBUB","UB","Composite","2",1,0.473454158338933,0.115979123,"1702",107.5650526,2.431337072,17.86445891,0.105052757969716,0.973214285714286,0.93234649122807,115.41592920354,269.642625368732,"Season_1"
"237","Telemark","nome_cappelen1","1CAUB","UB","Composite","2",1,0.433295754232338,0.080441283,"0806",36.73246483,7.237559382,26.88021893,0.299851009619276,0.901169950738916,0.133333333333333,116.060471976401,270.875073746313,"Season_1"
"238","Telemark","drangedal1","1DRUB","UB","Composite","2",1,0.473815139666062,0.21131677,"0817",27.00672829,9.836987784,5.031787593,0.89349748748536,0.982348111658456,0.653645833333333,150.618879056047,270.375663716814,"Season_1"
"239","Telemark","fritsoe1","1FRUB","UB","Composite","2",1,0.491756976082304,0.245537883,"0604",45.5486725,2.225169257,8.847710058,0.86256351190303,1,0.728227699530516,206.915634218289,269.159439528024,"Season_1"
"240","Telemark","furesdal","1FYUB","UB","Composite","2",1,0.433331387286075,0.058035047,"0831",23.22393919,2.078638027,1.526065809,0.765572700937602,1,0.25,137.520943952802,268.882448377581,"Season_1"
"241","Trøndelag","namdalseid_1kub","1KUB","UB","Composite","2",1,0.421535462463856,0.222676728,"1725",75.88802955,8.758466457,7.375877596,0.129218140280598,0.860632183908046,0.354166666666667,80.0076696165192,271.017256637168,"Season_1"
"242","Telemark","kviteseid1","1KVUB","UB","Composite","2",1,0.486148044343715,0.105926078,"0829",34.25057033,13.40190923,2.936689407,1.69761136832054,1,0.678571428571428,170.644542772861,268.384218289086,"Season_1"
"243","Trøndelag","nsb_verdal","1NSUB","UB","Composite","2",1,0.299841127609347,0.110463648,"1721",28.2697902,2.827400105,6.979690234,0.0569086417820259,0.798440065681445,0.666666666666667,27.1333333333333,270.799557522124,"Season_1"
"244","Trøndelag","sub_namdalseid","1SUB","UB","Composite","2",1,0.467490863214944,0.077437345,"1725",75.88802955,8.758466457,7.375877596,0.186951220505757,0.952380952380952,0.719100851722803,127.524483775811,270.305162241888,"Season_1"
"245","Trøndelag","verdal_1vb","1VBUB","UB","Composite","2",1,0.386696224299792,0.011938921,"1721",28.2697902,2.827400105,6.979690234,0.266489106051446,0.898809523809524,0.564102564102564,47.6085545722714,269.949705014749,"Season_1"
"246","Trøndelag","steinkjer_2bbb","2BBUB","UB","Composite","2",1,0.474927457736155,0.087040751,"1702",107.5650526,2.431337072,17.86445891,0.540061009660257,0.961309523809524,0.982397959183673,115.761061946903,269.670353982301,"Season_1"
"247","Telemark","nome_cappelen2","2CAUB","UB","Composite","2",1,0.440552417551017,0.166542737,"0819",30.18818188,28.25801849,15.04767058,0.765922461321981,0.941605090311987,0.438651218062983,93.9044247787611,270.583628318584,"Season_1"
"248","Telemark","fritsoe2","2FRUB","UB","Composite","2",1,0.476027042254996,0.148195816,"0728",45.48785783,33.89613967,19.91579349,1.47146511385675,0.982142857142857,0.788957688338493,137.038643067847,269.913126843658,"Season_1"
"249","Telemark","kviteseid2","2KVUB","UB","Composite","2",1,0.480363287701938,0.106407376,"0829",34.25057033,13.40190923,2.936689407,1.50583744001359,1,0.322916666666667,242.883185840708,267.98982300885,"Season_1"
"250","Trøndelag","verdal_2vb","2VBUB","UB","Composite","2",1,0.344431559639887,0.241115185,"1721",28.2697902,2.827400105,6.979690234,1.6071785787697,0.866071428571429,0.559722222222222,37.6672566371681,270.17005899705,"Season_1"
