"","Region","Treatment","Years_Since_Exclosure","Group","Month","Mean_Subplot_Albedo","SE","Season"
"1","Telemark","B",1,"Composite",1,0.431272659019246,0.00382754859618418,"Winter"
"2","Trøndelag","B",1,"Composite",1,0.39793772797482,0.00924509598428351,"Winter"
"3","Telemark","UB",1,"Composite",1,0.433238228441363,0.00483014908602239,"Winter"
"4","Trøndelag","UB",1,"Composite",1,0.402230717809948,0.00884696554650037,"Winter"
"5","Hedmark","B",2,"Composite",1,0.321928772202739,0.0076432053012512,"Winter"
"6","Telemark","B",2,"Composite",1,0.436368488112196,0.00365512903320014,"Winter"
"7","Trøndelag","B",2,"Composite",1,0.398442920080391,0.00928548323540587,"Winter"
"8","Hedmark","UB",2,"Composite",1,0.318817037514151,0.0102016088386432,"Winter"
"9","Telemark","UB",2,"Composite",1,0.437093182970679,0.00435638610846305,"Winter"
"10","Trøndelag","UB",2,"Composite",1,0.403152163673765,0.00844777080596652,"Winter"
"11","Hedmark","B",3,"Composite",1,0.319820990499758,0.0056365126530092,"Winter"
"12","Telemark","B",3,"Composite",1,0.435302289355984,0.00358819427977191,"Winter"
"13","Trøndelag","B",3,"Composite",1,0.396640043543206,0.00929775012484877,"Winter"
"14","Hedmark","UB",3,"Composite",1,0.317258968358923,0.00638606540382757,"Winter"
"15","Telemark","UB",3,"Composite",1,0.432595738287339,0.00404789299488484,"Winter"
"16","Trøndelag","UB",3,"Composite",1,0.398953491590915,0.00855889549474356,"Winter"
"17","Hedmark","B",4,"Composite",1,0.317414150833002,0.00595738218639644,"Winter"
"18","Telemark","B",4,"Composite",1,0.433556339726713,0.00363884826480542,"Winter"
"19","Trøndelag","B",4,"Composite",1,0.396039440652649,0.00930387070873769,"Winter"
"20","Hedmark","UB",4,"Composite",1,0.314558047138077,0.00643579859996209,"Winter"
"21","Telemark","UB",4,"Composite",1,0.430144095162309,0.00396198779152037,"Winter"
"22","Trøndelag","UB",4,"Composite",1,0.396340676098677,0.00872851486324221,"Winter"
